Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Argentina,20.7766395716487,19.3017773565965,17.9860210345909,13.0835789194976,14.0017337092786,9.76020743319997,7.06116575335062,5.55688705320382,6.30058933362473,16.5053220097377,12.3009642216445,16.9726830857009
Australia,0.00524150221453469,0.00381564205115042,0.00378976888726069,0.00266789982925441,0.00285534806692936,0.00337812159548683,0.00297900344210307,0.00283098018828592,0,0,0,0
Brazil,0.00792326249858939,0.00642791993865553,0.0135612709158706,0.0193994787448117,0.0207962124363764,0.0121561018231127,0.0162025104163352,0.00734502050021615,0.0131912385822227,0.00895697260952461,0.00522410514256912,0.0125480463648354
Canada,,,,,,,,,,,,
Germany,0,0,0,0,0,0,0,0,0,0,0,
Germany,0,0,0,0,0,0,0,0,0,0,0,0
France,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,1.2301429406877,3.30203210073763,2.16598777380935,1.46990188525123,0.989188184490414,0.300701679011684,0.233919656824566,0.308975025674256,0.445648886523682,0.228414633181075,0.333321176504624,2.23935806400384
India,0.0167702301934755,0.00742298651490783,0.0064958565714869,0.00356024500958839,0.00313282548679168,0.00838115284818366,0.0103157493517688,0.00513843192528309,0.00493119659888326,,,
Italy,0,0,0,0,0,0,0,0,0,0,0,0
Japan,,,,,,,,,,,,
"Korea, Rep.",0,0,0,0,0,0,0,0,0,0,0,0
Mexico,1.43357996046893E-05,0.000121010443536372,5.10603848226749E-05,3.38521151207871E-05,4.30613785062606E-05,4.44036525811661E-05,1.31042421279992E-05,1.34899642368334E-05,5.76684983625476E-06,1.38891153880693E-05,4.92884090368495E-06,2.91473291123375E-06
Russian Federation,41.8369880016549,44.607870602723,43.3748959156223,43.3122166193483,43.7295773661701,31.5855650611243,26.0214435317405,20.9417812151525,25.1813580595882,19.0904227519756,9.87102583689306,16.0600879203862
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,
Turkiye,0,0,0,0,0,0,0,0,0,0,0,0
United States,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,0.0102289425507746,0.00843945439463146,0.00665081001036902,0.0101313427234034,0.0115919357174622,0.011453824155063,0.0099431260884005,0.00690521368621955,0.00584177851896696,0.00676854230290828,0.00394140119607945,0.0359703019403651
